tau classical fermi bose
0.00000000 0.00000000 0.48359759 0.00000000
0.02000000 0.02000000 0.48414182 0.00007589
0.04000000 0.04000000 0.48577452 0.00042928
0.06000000 0.06000000 0.48849568 0.00118295
0.08000000 0.08000000 0.49230530 0.00242835
0.10000000 0.10000000 0.49720339 0.00424216
0.12000000 0.12000000 0.50318995 0.00669175
0.14000000 0.14000000 0.50968295 0.00983800
0.16000000 0.16000000 0.51740563 0.01373683
0.18000000 0.18000000 0.52599579 0.01844029
0.20000000 0.20000000 0.53539219 0.02399725
0.22000000 0.22000000 0.54553226 0.03045392
0.24000000 0.24000000 0.55635454 0.03785425
0.26000000 0.26000000 0.56780038 0.04624022
0.28000000 0.28000000 0.57981495 0.05565211
0.30000000 0.30000000 0.59234775 0.06612865
0.32000000 0.32000000 0.60535270 0.07770724
0.34000000 0.34000000 0.61878802 0.09042403
0.36000000 0.36000000 0.63261607 0.10431405
0.38000000 0.38000000 0.64680293 0.11941133
0.40000000 0.40000000 0.66131815 0.13574897
0.42000000 0.42000000 0.67613435 0.15335918
0.44000000 0.44000000 0.69122697 0.17227341
0.46000000 0.46000000 0.70657389 0.19252234
0.48000000 0.48000000 0.72215521 0.21413598
0.50000000 0.50000000 0.73795299 0.23714368
0.52000000 0.52000000 0.75395105 0.26157420
0.54000000 0.54000000 0.77013473 0.28707679
0.56000000 0.56000000 0.78649076 0.31233430
0.58000000 0.58000000 0.80300711 0.33726510
0.60000000 0.60000000 0.81967281 0.36190242
0.62000000 0.62000000 0.83647791 0.38627484
0.64000000 0.64000000 0.85341328 0.41040717
0.66000000 0.66000000 0.87047062 0.43432103
0.68000000 0.68000000 0.88764230 0.45803537
0.70000000 0.70000000 0.90492133 0.48156690
0.72000000 0.72000000 0.92230127 0.50493041
0.74000000 0.74000000 0.93977622 0.52813905
0.76000000 0.76000000 0.95734072 0.55120455
0.78000000 0.78000000 0.97498972 0.57413742
0.80000000 0.80000000 0.99271858 0.59694712
0.82000000 0.82000000 1.01052297 0.61964216
0.84000000 0.84000000 1.02839889 0.64223026
0.86000000 0.86000000 1.04634263 0.66471841
0.88000000 0.88000000 1.06435072 0.68711298
0.90000000 0.90000000 1.08241994 0.70941977
0.92000000 0.92000000 1.10054728 0.73164410
0.94000000 0.94000000 1.11872995 0.75379082
0.96000000 0.96000000 1.13696531 0.77586441
0.98000000 0.98000000 1.15525092 0.79786898
1.00000000 1.00000000 1.17358447 0.81980833
1.02000000 1.02000000 1.19196380 0.84168596
1.04000000 1.04000000 1.21038689 0.86350511
1.06000000 1.06000000 1.22885183 0.88526879
1.08000000 1.08000000 1.24735684 0.90697981
1.10000000 1.10000000 1.26590021 0.92864075
1.12000000 1.12000000 1.28448037 0.95025404
1.14000000 1.14000000 1.30309581 0.97182194
1.16000000 1.16000000 1.32174510 0.99334656
1.18000000 1.18000000 1.34042692 1.01482988
1.20000000 1.20000000 1.35913999 1.03627375
1.22000000 1.22000000 1.37788311 1.05767989
1.24000000 1.24000000 1.39665515 1.07904995
1.26000000 1.26000000 1.41545502 1.10038546
1.28000000 1.28000000 1.43428169 1.12168785
1.30000000 1.30000000 1.45313421 1.14295849
1.32000000 1.32000000 1.47201164 1.16419865
1.34000000 1.34000000 1.49091310 1.18540955
1.36000000 1.36000000 1.50983775 1.20659232
1.38000000 1.38000000 1.52878481 1.22774806
1.40000000 1.40000000 1.54775350 1.24887777
1.42000000 1.42000000 1.56674311 1.26998244
1.44000000 1.44000000 1.58575294 1.29106298
1.46000000 1.46000000 1.60478234 1.31212027
1.48000000 1.48000000 1.62383067 1.33315513
1.50000000 1.50000000 1.64289734 1.35416834
1.52000000 1.52000000 1.66198176 1.37516067
1.54000000 1.54000000 1.68108338 1.39613282
1.56000000 1.56000000 1.70020168 1.41708547
1.58000000 1.58000000 1.71933615 1.43801927
1.60000000 1.60000000 1.73848631 1.45893484
1.62000000 1.62000000 1.75765169 1.47983277
1.64000000 1.64000000 1.77683184 1.50071362
1.66000000 1.66000000 1.79602635 1.52157792
1.68000000 1.68000000 1.81523479 1.54242620
1.70000000 1.70000000 1.83445677 1.56325895
1.72000000 1.72000000 1.85369192 1.58407663
1.74000000 1.74000000 1.87293987 1.60487970
1.76000000 1.76000000 1.89220027 1.62566859
1.78000000 1.78000000 1.91147278 1.64644372
1.80000000 1.80000000 1.93075707 1.66720548
1.82000000 1.82000000 1.95005284 1.68795426
1.84000000 1.84000000 1.96935978 1.70869042
1.86000000 1.86000000 1.98867760 1.72941431
1.88000000 1.88000000 2.00800602 1.75012628
1.90000000 1.90000000 2.02734478 1.77082665
1.92000000 1.92000000 2.04669361 1.79151573
1.94000000 1.94000000 2.06605225 1.81219382
1.96000000 1.96000000 2.08542047 1.83286122
1.98000000 1.98000000 2.10479803 1.85351820
2.00000000 2.00000000 2.12418471 1.87416504
